Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Page,1,1066,1066,1066,"0,00","0,000%",",93809","23,33","0,46","25469,0"
icons,1,39,39,39,"0,00","0,000%","25,64103","75,17","15,40","3002,0"
Login,1,854,854,854,"0,00","0,000%","1,17096","24,57","1,74","21488,0"
History,1,525,525,525,"0,00","0,000%","1,90476","37,87","1,63","20360,0"
CustomerData,1,459,459,459,"0,00","0,000%","2,17865","50,07","1,78","23532,0"
Orders,1,374,374,374,"0,00","0,000%","2,67380","53,16","2,20","20360,0"
Order703194,1,487,487,487,"0,00","0,000%","2,05339","119,52","0,92","59604,0"
Photo703194,1,53,53,53,"0,00","0,000%","18,86792","485,19","8,48","26332,0"
Facture703194,1,38,38,38,"0,00","0,000%","26,31579","128,26","11,80","4991,0"
SearchProduct,1,607,607,607,"0,00","0,000%","1,64745","32,79","1,34","20379,0"
SearchProductIcon,1,248,248,248,"0,00","0,000%","4,03226","110,40","1,81","28036,0"
Logout,1,374,374,374,"0,00","0,000%","2,67380","67,01","6,98","25664,0"
RAZEM,12,427,38,1066,"305,05","0,000%","2,24719","51,06","1,93","23268,1"
