Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
2 /1/hit.t,1,337,337,337,"0,00","0,000%","2,96736","2,59","4,54","893,0"
1 /,1,598,598,598,"0,00","0,000%","1,67224","68,55","1,28","41979,0"
6 /iwa.js,1,217,217,217,"0,00","0,000%","4,60829","1,70","1,49","377,0"
7 /xgemius.js,1,244,244,244,"0,00","0,000%","4,09836","19,17","1,16","4790,0"
[3 /0006Y0TWDG5EMXVK-C443.jpg],1,397,397,397,"0,00","0,000%","2,51889","19,26","0,74","7831,0"
[5 /0006Y0OMTYF8VR5H-C414.jpg],1,404,404,404,"0,00","0,000%","2,47525","4,09","0,73","1693,0"
[4 /0006Y0EQ8BVHTP13-C445.jpg],1,511,511,511,"0,00","0,000%","1,95695","31,67","0,58","16574,0"
8 /weather/svg-icons/4.svg,1,202,202,202,"0,00","0,000%","4,95050","16,17","1,43","3345,0"
www.google-analytics.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
11 /1/hit.t,1,236,236,236,"0,00","0,000%","4,23729","3,70","5,52","893,0"
9 /success.txt,1,497,497,497,"0,00","0,000%","2,01207","0,75","0,60","384,0"
ls.hit.gemius.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
[10 /0006Y0OMTYF8VR5H-C444.jpg],1,711,711,711,"0,00","0,000%","1,40647","49,72","0,41","36201,0"
12 /success.txt,1,437,437,437,"0,00","0,000%","2,28833","0,86","0,69","384,0"
connect.facebook.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
13 /iframe.html,1,229,229,229,"0,00","0,000%","4,36681","3,19","3,18","748,0"
14 /iframe.html,1,235,235,235,"0,00","0,000%","4,25532","3,12","3,11","751,0"
16 /1/hit.t,1,254,254,254,"0,00","0,000%","3,93701","3,43","4,77","893,0"
17 /1/hit.t,1,268,268,268,"0,00","0,000%","3,73134","1,06","3,12","292,0"
19 /requirejs/require.jssc,1,248,248,248,"0,00","0,000%","4,03226","1,51","1,46","384,0"
18 /success.txt,1,371,371,371,"0,00","0,000%","2,69542","1,01","0,81","384,0"
15 /_1508149747257/ad.js,1,664,664,664,"0,00","0,000%","1,50602","39,93","0,97","27150,0"
20 /external-insets/criteo.jssc,1,205,205,205,"0,00","0,000%","4,87805","1,83","1,79","384,0"
21 /frontend/api/bootstrapScript.js,1,245,245,245,"0,00","0,000%","4,08163","3,68","1,78","922,0"
