Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /success.txt,1,633,633,633,"0,00","0,000%","1,57978","0,59","0,47","384,0"
2 /success.txt,1,206,206,206,"0,00","0,000%","4,85437","1,82","1,46","384,0"
3 /,1,174,174,174,"0,00","0,000%","5,74713","3,17","16,65","565,0"
4 /,1,74,74,74,"0,00","100,000%","13,51351","24,04","0,00","1822,0"
www.wp.pl:443,24,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1307,0"
5 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
v.wpimg.pl:443,104,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1245,2"
pushuser.wp.pl:443,11,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1264,7"
6 /success.txt,1,161,161,161,"0,00","0,000%","6,21118","2,33","1,86","384,0"
7 /success.txt,1,199,199,199,"0,00","0,000%","5,02513","1,88","1,51","384,0"
8 /success.txt,1,169,169,169,"0,00","0,000%","5,91716","2,22","1,77","384,0"
9 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
10 /success.txt,1,164,164,164,"0,00","0,000%","6,09756","2,29","1,83","384,0"
11 /success.txt,1,165,165,165,"0,00","0,000%","6,06061","2,27","1,82","384,0"
12 /success.txt,1,147,147,147,"0,00","0,000%","6,80272","2,55","2,04","384,0"
13 /success.txt,1,161,161,161,"0,00","0,000%","6,21118","2,33","1,86","384,0"
14 /success.txt,1,149,149,149,"0,00","0,000%","6,71141","2,52","2,01","384,0"
trendy.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
15 /success.txt,1,164,164,164,"0,00","0,000%","6,09756","2,29","1,83","384,0"
wp.tv:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
liveblog.wp.pl:443,3,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1269,0"
16 /success.txt,1,158,158,158,"0,00","0,000%","6,32911","2,37","1,90","384,0"
websocket.wp.pl:443,8,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
17 /success.txt,1,147,147,147,"0,00","0,000%","6,80272","2,55","2,04","384,0"
18 /success.txt,1,164,164,164,"0,00","0,000%","6,09756","2,29","1,83","384,0"
platform.instagram.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
19 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
20 /success.txt,1,158,158,158,"0,00","0,000%","6,32911","2,37","1,90","384,0"
21 /success.txt,1,147,147,147,"0,00","0,000%","6,80272","2,55","2,04","384,0"
22 /success.txt,1,146,146,146,"0,00","0,000%","6,84932","2,57","2,05","384,0"
23 /success.txt,1,146,146,146,"0,00","0,000%","6,84932","2,57","2,05","384,0"
24 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
25 /success.txt,1,149,149,149,"0,00","0,000%","6,71141","2,52","2,01","384,0"
26 /success.txt,1,1110,1110,1110,"0,00","0,000%",",90090","0,34","0,27","384,0"
27 /success.txt,1,233,233,233,"0,00","0,000%","4,29185","1,61","1,29","384,0"
28 /success.txt,1,149,149,149,"0,00","0,000%","6,71141","2,52","2,01","384,0"
29 /success.txt,1,149,149,149,"0,00","0,000%","6,71141","2,52","2,01","384,0"
30 /success.txt,1,150,150,150,"0,00","0,000%","6,66667","2,50","2,00","384,0"
31 /success.txt,1,185,185,185,"0,00","0,000%","5,40541","2,03","1,62","384,0"
32 /success.txt,1,232,232,232,"0,00","0,000%","4,31034","1,62","1,29","384,0"
33 /success.txt,1,163,163,163,"0,00","0,000%","6,13497","2,30","1,84","384,0"
34 /success.txt,1,147,147,147,"0,00","0,000%","6,80272","2,55","2,04","384,0"
RAZEM,187,37,0,1110,"109,43","82,353%","34,26163","37,48","2,29","1120,1"
