Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
websocket.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
1 /success.txt,1,3210,3210,3210,"0,00","0,000%",",31153","0,12","0,09","384,0"
2 /,1,2095,2095,2095,"0,00","0,000%",",47733","19,76","0,37","42399,0"
www.google-analytics.com:443,9,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1362,3"
[6 /0006Y1TX13DKR4CC-C456.jpg],1,1629,1629,1629,"0,00","0,000%",",61387","3,01","0,18","5016,0"
[3 /0006Y1WKO4IC3H44-C443.jpg],1,1650,1650,1650,"0,00","0,000%",",60606","8,29","0,18","14008,0"
[4 /0006Y16YMOKR6KC0-C456.jpg],1,1659,1659,1659,"0,00","0,000%",",60277","1,24","0,18","2106,0"
[11 /0006Y1QQRCBKX1AF-C414.jpg],1,1651,1651,1651,"0,00","0,000%",",60569","0,97","0,18","1641,0"
[12 /0006Y1L18IW1E0RU-C414.jpg],1,1660,1660,1660,"0,00","0,000%",",60241","0,91","0,18","1539,0"
[5 /0006Y1Q6Q36OXK50-C445.jpg],1,1685,1685,1685,"0,00","0,000%",",59347","6,08","0,17","10492,0"
[10 /0006Y0QW26OXPPF0-C414.jpg],1,1674,1674,1674,"0,00","0,000%",",59737","1,17","0,18","2011,0"
[8 /0006Y0VUFJHRFU1M-C445.jpg],1,2187,2187,2187,"0,00","0,000%",",45725","6,89","0,13","15432,0"
[7 /0006Y0LM4DJI2QJI-C445.jpg],1,2193,2193,2193,"0,00","0,000%",",45600","8,02","0,13","18004,0"
[9 /0006Y0U3AGEM04MQ-C445.jpg],1,2198,2198,2198,"0,00","0,000%",",45496","12,57","0,13","28291,0"
16 /success.txt,1,1172,1172,1172,"0,00","0,000%",",85324","0,32","0,26","384,0"
15 /iwa.js,1,1570,1570,1570,"0,00","0,000%",",63694","0,23","0,21","377,0"
14 /xgemius.js,1,2657,2657,2657,"0,00","0,000%",",37636","1,76","0,11","4790,0"
[13 /0006Y0QW26OXPPF0-C444.jpg],1,3197,3197,3197,"0,00","0,000%",",31279","15,62","0,09","51123,0"
[19 /0006Y1QQRCBKX1AF-C444.jpg],1,1647,1647,1647,"0,00","0,000%",",60716","22,07","0,18","37226,0"
[20 /0006Y0H3AVMHKD6Q-C445.jpg],1,1662,1662,1662,"0,00","0,000%",",60168","11,58","0,18","19702,0"
