Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
www.google.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","782,0"
13 /success.txt,1,1759,1759,1759,"0,00","0,000%",",56850","0,21","0,17","384,0"
websocket.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
14 /,1,4864,4864,4864,"0,00","0,000%",",20559","8,51","0,16","42387,0"
www.google-analytics.com:443,6,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
15 /success.txt,1,2652,2652,2652,"0,00","0,000%",",37707","0,14","0,11","384,0"
17 /1/hit.t,1,1292,1292,1292,"0,00","0,000%",",77399","0,67","1,01","893,0"
18 /weather/svg-icons/4.svg,1,1280,1280,1280,"0,00","0,000%",",78125","2,55","0,23","3345,0"
16 /xgemius.js,1,3092,3092,3092,"0,00","100,000%",",32342","1,51","0,09","4790,0"
26 /sweqevub.js,1,1237,1237,1237,"0,00","0,000%",",80841","0,30","0,27","377,0"
hg.interia.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
23 /1/hit.t,1,2244,2244,2244,"0,00","0,000%",",44563","0,39","0,62","893,0"
24 /1/hit.t,1,3908,3908,3908,"0,00","0,000%",",25589","0,22","0,32","893,0"
[21 /0006Y1KBM1AD27SH-C445.jpg],1,4574,4574,4574,"0,00","100,000%",",21863","2,81","0,06","13162,0"
[19 /0006Y179BM6YE125-C445.jpg],1,5900,5900,5900,"0,00","0,000%",",16949","0,95","0,05","5720,0"
[20 /0006Y0QAMQSTQ7RA-C445.jpg],1,5545,5545,5545,"0,00","100,000%",",18034","2,51","0,05","14276,0"
27 /success.txt,1,3584,3584,3584,"0,00","0,000%",",27902","0,10","0,08","384,0"
[22 /0006Y1Y85O127TLK-C445.jpg],1,5821,5821,5821,"0,00","100,000%",",17179","2,93","0,05","17474,0"
"25 /polska/news-czlonkowie-komisji-sledczej-nieprawidlowosci-w-dzialaniach-s,nId,2453180",1,5350,5350,5350,"0,00","0,000%",",18692","5,66","0,17","31011,0"
apis.google.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
30 /xgemius.js,1,485,485,485,"0,00","0,000%","2,06186","9,64","0,76","4790,0"
28 /_1508177134209/redot.gif,1,788,788,788,"0,00","0,000%","1,26904","0,71","1,26","571,0"
32 /1/hit.t,1,518,518,518,"0,00","0,000%","1,93050","1,68","3,63","893,0"
31 /success.txt,1,603,603,603,"0,00","0,000%","1,65837","0,62","0,50","384,0"
ls.hit.gemius.pl:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
33 /_/itxads/,1,588,588,588,"0,00","0,000%","1,70068","1,09","1,14","654,0"
34 /_/ads2/,1,639,639,639,"0,00","0,000%","1,56495","3,39","1,04","2217,0"
connect.facebook.net:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1129,0"
35 /a/Rankingpv,1,623,623,623,"0,00","0,000%","1,60514","0,43","1,20","274,0"
36 /weather/svg-icons/4.svg,1,635,635,635,"0,00","0,000%","1,57480","5,14","0,52","3345,0"
platform.twitter.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
syndication.twitter.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
37 /api-forum-4/comment-list/,1,648,648,648,"0,00","0,000%","1,54321","2,78","1,47","1842,0"
38 /iframe,1,660,660,660,"0,00","0,000%","1,51515","1,11","1,24","751,0"
40 /iframe.html,1,662,662,662,"0,00","0,000%","1,51057","1,11","1,23","751,0"
39 /iframe.html,1,679,679,679,"0,00","0,000%","1,47275","1,08","1,20","748,0"
securepubads.g.doubleclick.net:443,4,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1339,0"
41 /success.txt,1,773,773,773,"0,00","0,000%","1,29366","0,49","0,39","384,0"
[29 /komisja-sledcza-ds-amber-gold/0006Y1Q22WD4I6DF-C122-F4.jpg],1,1597,1597,1597,"0,00","0,000%",",62617","67,04","0,25","109636,0"
42 /_1508177135132/ad.js,1,980,980,980,"0,00","0,000%","1,02041","15,02","0,76","15074,0"
43 /quad/intext_spliter/,1,672,672,672,"0,00","0,000%","1,48810","4,48","1,00","3085,0"
[45 /0002PTYAFEM04KIT-C414.jpg],1,603,603,603,"0,00","0,000%","1,65837","3,08","0,62","1902,0"
44 /quad/spliter/,1,793,793,793,"0,00","0,000%","1,26103","4,34","1,08","3522,0"
47 /external-insets/criteo.jssc,1,734,734,734,"0,00","0,000%","1,36240","0,51","0,50","384,0"
46 /external-insets/contentstream.jssc,1,757,757,757,"0,00","0,000%","1,32100","0,50","0,50","384,0"
48 /frontend/api/bootstrapScript.js,1,756,756,756,"0,00","0,000%","1,32275","1,19","0,58","922,0"
52 /_/jsonapi/,1,404,404,404,"0,00","0,000%","2,47525","12,43","1,07","5143,0"
53 /frontend/api/matchMainScript.js,1,400,400,400,"0,00","0,000%","2,50000","4,01","1,09","1643,0"
49 /_/intext_static/,1,727,727,727,"0,00","0,000%","1,37552","114,48","0,84","85228,0"
51 /delivery/rta/rta.js,1,689,689,689,"0,00","0,000%","1,45138","0,97","0,55","687,0"
54 /quad/json_spliter,1,577,577,577,"0,00","0,000%","1,73310","3,24","1,12","1913,0"
50 /_/both/,1,1143,1143,1143,"0,00","0,000%",",87489","96,97","0,50","113501,0"
56 /deimos/parserNc/,1,502,502,502,"0,00","0,000%","1,99203","2,59","0,92","1329,0"
55 /quad/intext_spliter/,1,612,612,612,"0,00","0,000%","1,63399","5,20","2,04","3259,0"
57 /_/getImageII/,1,698,698,698,"0,00","0,000%","1,43266","20,12","0,87","14380,0"
60 /1/hit.t,1,421,421,421,"0,00","0,000%","2,37530","2,07","4,12","893,0"
61 /_1508177138815/redot.gif,1,421,421,421,"0,00","0,000%","2,37530","1,35","2,32","583,0"
62 /_1508177138816/redot.gif,1,439,439,439,"0,00","0,000%","2,27790","1,30","2,20","583,0"
58 /_/parserBox/,1,953,953,953,"0,00","100,000%","1,04932","55,11","0,53","53780,0"
59 /_/getBaloons/,1,1013,1013,1013,"0,00","100,000%",",98717","50,30","0,63","52172,0"
63 /success.txt,1,559,559,559,"0,00","0,000%","1,78891","0,67","0,54","384,0"
stats.g.doubleclick.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
64 /xgemius.js,1,574,574,574,"0,00","0,000%","1,74216","8,15","0,49","4790,0"
65 /success.txt,1,454,454,454,"0,00","0,000%","2,20264","0,83","0,66","384,0"
66 /1/hit.t,1,433,433,433,"0,00","0,000%","2,30947","2,01","3,08","893,0"
[67 /0006Y179BM6YE125-C445.jpg],1,502,502,502,"0,00","0,000%","1,99203","11,13","0,59","5720,0"
[69 /0006Y1KBM1AD27SH-C445.jpg],1,506,506,506,"0,00","0,000%","1,97628","25,40","0,58","13162,0"
