Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
2 /1/hit.t,1,178,178,178,"0,00","0,000%","5,61798","4,90","8,57","893,0"
1 /,1,269,269,269,"0,00","0,000%","3,71747","153,76","2,85","42353,0"
3 /1/hit.t,1,89,89,89,"0,00","0,000%","11,23596","9,80","13,68","893,0"
5 /xgemius.js,1,76,76,76,"0,00","0,000%","13,15789","61,55","3,71","4790,0"
4 /bb-mx/submit?/YmxQIbWSALklFCTkzFtPgIEBCAPAAGAAAAGeaAAAAWV0JybCBPBSAAAAAAAIAAAARksFA,1,137,137,137,"0,00","0,000%","7,29927","2,85","3,48","400,0"
6 /1/hit.t,1,91,91,91,"0,00","0,000%","10,98901","9,58","14,32","893,0"
7 /weather/svg-icons/4.svg,1,84,84,84,"0,00","0,000%","11,90476","38,89","3,44","3345,0"
www.google-analytics.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
ls.hit.gemius.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
8 /success.txt,1,253,253,253,"0,00","0,000%","3,95257","1,48","1,18","384,0"
connect.facebook.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
9 /_1508177462825/ad.js,1,163,163,163,"0,00","0,000%","6,13497","192,39","4,06","32112,0"
11 /1/hit.t,1,89,89,89,"0,00","0,000%","11,23596","9,80","13,62","893,0"
12 /1/hit.t,1,119,119,119,"0,00","0,000%","8,40336","2,40","7,02","292,0"
10 /success.txt,1,175,175,175,"0,00","0,000%","5,71429","2,14","1,71","384,0"
13 /delivery/rta/rta.js,1,150,150,150,"0,00","0,000%","6,66667","4,47","2,54","687,0"
14 /frontend/api/bootstrapScript.js,1,124,124,124,"0,00","0,000%","8,06452","7,26","3,52","922,0"
16 /_1508177463092/redot.gif/id=bO4w3ZP3i2R4oGvqqErMC2azDkZNlJrSgTJ71gOsANL.b7/stparam=wnfebioksa/fastid=jddxshhdqkpsiqhwrjziuylrtinf/sarg=59DFE50A4C941D20,1,84,84,84,"0,00","0,000%","11,90476","6,78","7,17","583,0"
15 /bb-mx/prime/mtrcs_696215.js,1,130,130,130,"0,00","0,000%","7,69231","11,97","3,20","1593,0"
interia.hit.gemius.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
18 /bb-mxad/gettag,1,107,107,107,"0,00","0,000%","9,34579","2,61","2,67","286,0"
17 /frontend/api/matchMainScript.js,1,140,140,140,"0,00","0,000%","7,14286","11,46","3,11","1643,0"
20 /_1508177463412/redot.gif/id=..GVHPivCWopEcIc2jCJdXa5.IlZxQy7e3P5trVs5i..H7/stparam=rgchqvgqgf/fastid=jzmzjixhhogtvhixcrtaxunrhtnw/sarg=59DFE50A4C941D20,1,91,91,91,"0,00","0,000%","10,98901","6,26","6,62","583,0"
21 /_1508177463425/redot.gif/id=nFuVHUglkc3pkN7Nl.WF7sQM.BOy_MvvFXw8FWe34kL.77/stparam=wpnpqpepeu/fastid=cduhghpkqnsdjlamdbqzrcuhdhjt/sarg=59DFE50A4C941D20,1,101,101,101,"0,00","0,000%","9,90099","5,64","5,97","583,0"
22 /_1508177463438/redot.gif/id=Bx2Q1KOAo8mE57mUpGiAesQ5rhbyJ_eyVXupqy9RccD.x7/stparam=xlgqoqefkl/fastid=ifdsorreetmqluncotmndcbpxylx/sarg=59DFE50A4C941D20,1,130,130,130,"0,00","0,000%","7,69231","4,38","4,63","583,0"
j.hub.com.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
19 /success.txt,1,214,214,214,"0,00","0,000%","4,67290","1,75","1,40","384,0"
23 /_1508177463502/redot.gif/id=..rrELvewFvJEMHqvJ9F92ZUfZWNEQe3B9WYPFrCk9..D7/stparam=nkdloveofz/fastid=lmfcckgfexsmsqbjjgmgoxhirmki/sarg=59DFE50A4C941D20,1,124,124,124,"0,00","0,000%","8,06452","4,59","4,86","583,0"
24 /_1508177463617/redot.gif/id=ba.lPU7gSaQwHLgLALHAuNVqXmeNUy92KGDHBR67SVv.C7/stparam=xgmnnwfpyz/fastid=kysusyoczyzcskdgdwmbigvvzuos/sarg=59DFE50A4C941D20,1,86,86,86,"0,00","0,000%","11,62791","6,62","7,01","583,0"
25 /_1508177463638/redot.gif/id=d1Y65obCJvBQUn3jeXiBVYaAzUtF9Q7q9qejPraYnFb.t7/stparam=vkntdjnjmx/fastid=burfkpddceijgjfhjgxwkxcepqju/sarg=59DFE50A4C941D20,1,93,93,93,"0,00","0,000%","10,75269","6,12","6,48","583,0"
26 /_1508177463835/redot.gif/id=0shAgir1a5AT0bFStZbKhJeCTH3sfwQ2XRjVl4_PI4b.l7/stparam=nkijjnpgyh/fastid=lozsrzdclljbogcmebryvxxnmnmu/sarg=59DFE50A4C941D20,1,75,75,75,"0,00","0,000%","13,33333","7,59","8,03","583,0"
27 /_1508177463839/redot.gif/id=dwBLaUcjm.8vZZ9o5CK3S8dRfUo8p3rK0KCEA4Euc4n.w7/stparam=lnoejrqlkl/fastid=dmrwozuckvehyznrgddnquckupng/sarg=59DFE50A4C941D20,1,105,105,105,"0,00","0,000%","9,52381","5,42","5,74","583,0"
28 /_1508177463846/redot.gif/id=nGDrQMhX5GbD64tuY1sGG8TYfXU1ROL_0cpPKfH9FwX.f7/stparam=pooljtpqcf/fastid=ncfdzkwmbequoeebskvjcrzspqlv/sarg=59DFE50A4C941D20,1,120,120,120,"0,00","0,000%","8,33333","4,74","5,02","583,0"
29 /_1508177463855/redot.gif/id=d62ab89Ev_fiJpCBF9ucGbcd3yf8vi9cWmQ0fx3oy4..W7/stparam=wkmghwrtew/fastid=lplqdrpbofvdpveqfhgabtyobwlb/sarg=59DFE50A4C941D20,1,133,133,133,"0,00","0,000%","7,51880","4,28","4,53","583,0"
30 /_1508177463860/redot.gif/id=..s1vbBBgV6mRVUEf5B5LXa5nOjNs4wtx97sIm9JzDv.d7/stparam=toltgtmkzz/fastid=lrixfwphuhymhmfcawuungoyitnf/sarg=59DFE50A4C941D20,1,134,134,134,"0,00","0,000%","7,46269","4,25","4,50","583,0"
e.hub.com.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
31 /_1508177463874/redot.gif/id=.KDlpDhTCY5ZqTgtGgQWK8TYP_1NAPu.21sSSSGyJib.27/stparam=teceerrrzf/fastid=bwgfbbwaavcomllcwdwxzkfodcka/sarg=59DFE50A4C941D20,1,191,191,191,"0,00","0,000%","5,23560","2,98","3,15","583,0"
33 /_1508177463896/redot.gif/id=okswsft0C4ky1xe605kXloaSHQJp2uNaevC.UzWUMZj.27/stparam=ofmrlqngjq/fastid=bdrteidcuhsebwlfxoxyziixovmq/sarg=59DFE50A4C941D20,1,186,186,186,"0,00","0,000%","5,37634","3,06","3,24","583,0"
32 /_1508177463881/redot.gif/id=ofhL0j_pmFn_Daq5_PfPepZDLcBdioN68YzVBYcxqW3.q7/stparam=tgeloplgbj/fastid=axvghuahqpxbaccpiexabtsrfcjv/sarg=59DFE50A4C941D20,1,216,216,216,"0,00","0,000%","4,62963","2,64","2,79","583,0"
34 /_1508177464066/redot.gif/id=..swsfQ9EwoHprNgkH_v3JQJP6LiBPsDdRSlqDFnwnL.a7/stparam=kojfevsmii/fastid=bcttbblnfpcoabmnygxslmvwqhld/sarg=59DFE50A4C941D20,1,99,99,99,"0,00","0,000%","10,10101","5,75","6,09","583,0"
35 /_1508177464059/redot.gif/id=..rrELvewFvJEMHqvJ9F92ZUfZWNEQe3B9WYPFrCk9..D7/stparam=xciglrmsmn/fastid=jmwsfhjkyclymkfvkmojpcryonmt/sarg=59DFE50A4C941D20,1,120,120,120,"0,00","0,000%","8,33333","4,74","5,02","583,0"
36 /_1508177463920/redot.gif/id=pz.rOzMzyEu_aZ7.Vv.xgGXF3wjZFwe.seApEVPBUcb.T7/stparam=qehhgxelto/fastid=gbzwsejjscqvkxbtdimpqevyplmv/sarg=59DFE50A4C941D20,1,123,123,123,"0,00","0,000%","8,13008","4,63","4,90","583,0"
38 /_1508177464084/redot.gif/id=bJGbGZwwJNH.b6CsdD6uuMcPfXBwsXuqwLQeoRBmlDL.M7/stparam=whimduitow/fastid=mbdnfgonjbcujimqwdjxdkoiujkf/sarg=59DFE50A4C941D20,1,100,100,100,"0,00","0,000%","10,00000","5,69","6,03","583,0"
39 /_1508177464152/redot.gif/id=pyZLmbM1EGNejpgiKcKuoJPZ33MGLm_kANvkoaeHR_..h7/stparam=tfenbofqsx/fastid=kxdodciehbibcrgmublilieuqniz/sarg=59DFE50A4C941D20,1,110,110,110,"0,00","0,000%","9,09091","5,18","5,48","583,0"
37 /success.txt,1,179,179,179,"0,00","0,000%","5,58659","2,09","1,67","384,0"
40 /_1508177464280/redot.gif/id=ciU7MormcMV99JeTSLiQFNVp3wmBaK_vC_DKhSwp7IX.g7/stparam=qdmojlklbw/fastid=gfovytheaswncckojrwtevcmytms/sarg=59DFE50A4C941D20,1,78,78,78,"0,00","0,000%","12,82051","7,30","7,72","583,0"
