Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
www.wp.pl:443,57,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1287,6"
v.wpimg.pl:443,43,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1062,3"
pushuser.wp.pl:443,22,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1365,2"
1 /success.txt,1,2261,2261,2261,"0,00","0,000%",",44228","0,17","0,13","384,0"
2 /success.txt,1,821,821,821,"0,00","0,000%","1,21803","0,46","0,37","384,0"
trendy.wp.pl:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1129,0"
3 /success.txt,1,970,970,970,"0,00","0,000%","1,03093","0,39","0,31","384,0"
wp.tv:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1129,0"
liveblog.wp.pl:443,4,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
websocket.wp.pl:443,7,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
platform.instagram.com:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
4 /success.txt,1,890,890,890,"0,00","0,000%","1,12360","0,42","0,34","384,0"
5 /success.txt,1,1175,1175,1175,"0,00","0,000%",",85106","0,32","0,26","384,0"
6 /success.txt,1,1291,1291,1291,"0,00","0,000%",",77459","0,29","0,23","384,0"
wiadomosci.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
7 /success.txt,1,924,924,924,"0,00","0,000%","1,08225","0,41","0,32","384,0"
8 /success.txt,1,1049,1049,1049,"0,00","0,000%",",95329","0,36","0,29","384,0"
9 /success.txt,1,922,922,922,"0,00","0,000%","1,08460","0,41","0,33","384,0"
10 /success.txt,1,1026,1026,1026,"0,00","0,000%",",97466","0,37","0,29","384,0"
11 /success.txt,1,1103,1103,1103,"0,00","0,000%",",90662","0,34","0,27","384,0"
12 /success.txt,1,1127,1127,1127,"0,00","0,000%",",88731","0,33","0,27","384,0"
13 /success.txt,1,1114,1114,1114,"0,00","0,000%",",89767","0,34","0,27","384,0"
14 /success.txt,1,1050,1050,1050,"0,00","0,000%",",95238","0,36","0,29","384,0"
15 /success.txt,1,850,850,850,"0,00","0,000%","1,17647","0,44","0,35","384,0"
sportowefakty.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
16 /success.txt,1,1017,1017,1017,"0,00","0,000%",",98328","0,37","0,29","384,0"
17 /success.txt,1,947,947,947,"0,00","0,000%","1,05597","0,40","0,32","384,0"
18 /success.txt,1,981,981,981,"0,00","0,000%","1,01937","0,38","0,31","384,0"
19 /success.txt,1,1556,1556,1556,"0,00","0,000%",",64267","0,24","0,19","384,0"
RAZEM,160,131,0,2261,"375,13","88,125%","70,76515","79,18","2,52","1145,7"
