Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
www.google.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","942,0"
websocket.wp.pl:443,7,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
1 /,1,1531,1531,1531,"0,00","0,000%",",65317","0,33","1,90","512,0"
www.wp.pl:443,23,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1213,9"
2 /success.txt,1,1246,1246,1246,"0,00","0,000%",",80257","0,30","0,24","384,0"
v.wpimg.pl:443,95,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1196,1"
pushuser.wp.pl:443,10,0,0,0,"0,00","100,000%",",00000","0,00","0,00","877,0"
3 /success.txt,1,875,875,875,"0,00","0,000%","1,14286","0,43","0,34","384,0"
4 /success.txt,1,799,799,799,"0,00","0,000%","1,25156","0,47","0,38","384,0"
5 /success.txt,1,812,812,812,"0,00","0,000%","1,23153","0,46","0,37","384,0"
6 /success.txt,1,162,162,162,"0,00","0,000%","6,17284","2,31","1,85","384,0"
trendy.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
7 /success.txt,1,614,614,614,"0,00","0,000%","1,62866","0,61","0,49","384,0"
wp.tv:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
liveblog.wp.pl:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
platform.instagram.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
8 /success.txt,1,1082,1082,1082,"0,00","0,000%",",92421","0,35","0,28","384,0"
9 /success.txt,1,4065,4065,4065,"0,00","0,000%",",24600","0,09","0,07","384,0"
10 /success.txt,1,1889,1889,1889,"0,00","0,000%",",52938","0,20","0,16","384,0"
11 /success.txt,1,2220,2220,2220,"0,00","0,000%",",45045","0,17","0,14","384,0"
12 /success.txt,1,615,615,615,"0,00","0,000%","1,62602","0,61","0,49","384,0"
RAZEM,153,103,0,4065,"452,14","92,157%","37,63838","41,94","1,53","1141,1"
