Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /1/hit.t,1,230,230,230,"0,00","0,000%","4,34783","3,79","6,64","893,0"
2 /,1,268,268,268,"0,00","0,000%","3,73134","2,06","10,79","565,0"
www.google.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","942,0"
3 /success.txt,1,250,250,250,"0,00","0,000%","4,00000","1,50","1,20","384,0"
4 /success.txt,1,275,275,275,"0,00","0,000%","3,63636","1,36","1,09","384,0"
v.wpimg.pl:443,46,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1084,0"
www.wp.pl:443,35,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1261,0"
pushuser.wp.pl:443,13,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1231,5"
5 /success.txt,1,212,212,212,"0,00","0,000%","4,71698","1,77","1,41","384,0"
6 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
7 /success.txt,1,210,210,210,"0,00","0,000%","4,76190","1,79","1,43","384,0"
8 /success.txt,1,315,315,315,"0,00","0,000%","3,17460","1,19","0,95","384,0"
9 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
10 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
11 /success.txt,1,189,189,189,"0,00","0,000%","5,29101","1,98","1,59","384,0"
trendy.wp.pl:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
12 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
wp.tv:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
liveblog.wp.pl:443,4,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1339,0"
13 /success.txt,1,163,163,163,"0,00","0,000%","6,13497","2,30","1,84","384,0"
websocket.wp.pl:443,5,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
14 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
wiadomosci.wp.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
platform.instagram.com:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
15 /success.txt,1,160,160,160,"0,00","0,000%","6,25000","2,34","1,87","384,0"
16 /success.txt,1,165,165,165,"0,00","0,000%","6,06061","2,27","1,82","384,0"
17 /success.txt,1,160,160,160,"0,00","0,000%","6,25000","2,34","1,87","384,0"
18 /success.txt,1,176,176,176,"0,00","0,000%","5,68182","2,13","1,70","384,0"
19 /success.txt,1,166,166,166,"0,00","0,000%","6,02410","2,26","1,81","384,0"
20 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
21 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
22 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
23 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
24 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
25 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
26 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
27 /success.txt,1,159,159,159,"0,00","0,000%","6,28931","2,36","1,89","384,0"
28 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
29 /success.txt,1,155,155,155,"0,00","0,000%","6,45161","2,42","1,93","384,0"
RAZEM,140,37,0,315,"76,40","79,286%","194,44444","199,00","17,38","1048,0"
